YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2013/14,8th Finals,11,Arsenal    ,2,0,1,1,1,3,-2,LD,50%,30%,20%,90%,30%,2.2,OVERALL,11,FC Porto,4,18.0,131.0,57.3,82.7,14.5,6.83,Scorers, ,Álvaro Negredo,Manchester City,8,5,Assists, ,Samir Nasri,Manchester City,7,4.0
2013/14,8th Finals,12,Galatasaray      ,2,0,1,1,1,3,-2,DL,13%,63%,25%,75%,50%,3.25,OVERALL,12,Arsenal  ,9,8.4,112.0,49.9,82.9,17.5,6.8,Scorers, ,Arturo Vidal,Juventus  ,6,5,Assists, ,Gregory van der Wiel, Paris Saint-Germain,6,
2013/14,8th Finals,13,Manchester City  ,2,0,0,2,1,4,-3,LL,13%,75%,13%,100%,88%,4.13,OVERALL,13,Napoli  ,10,12.8,110.0,49.4,80.8,12.2,6.8,Scorers,13,Raúl García,Atletico Madrid,12,4,Assists,13,Luka Modric,Real Madrid,11,3.0
2013/14,8th Finals,14,AC Milan    ,2,0,0,2,1,5,-4,LL,40%,50%,20%,80%,40%,2.4,OVERALL,14,AC Milan,9,9.5,181.0,44.7,80.5,10.6,6.79,Scorers, ,Neymar  ,Barcelona  ,10,4,Assists, ,Neymar  ,Barcelona  ,10,3.0
2013/14,8th Finals,15,Bayer Leverkusen  ,2,0,0,2,1,6,-5,LL,38%,38%,38%,75%,75%,3.25,OVERALL,15,Zenit St.,Petersburg,9.0,13.4,161.0,55.7,80.9,12.1,Scorers, ,Arjen Robben,Bayern Munich,10,4,Assists, ,Xavi  ,Barcelona  ,10,3.0
2013/14,8th Finals,16,Schalke 04  ,2,0,0,2,2,9,-7,LL,40%,40%,30%,80%,60%,3.0,OVERALL,16,FC Basel,1893,5.0,10.0,131.0,50.8,80.6,14.0,Scorers, ,Arda Turan,Atletico Madrid,9,4,Assists, ,Blaise Matuidi,Paris Saint-Germain,9,3.0
2013/14,Quarter Finals,1,Bayern München  ,2,1,1,0,4,2,2,DW,33%,50%,17%,83%,58%,3.08,OVERALL,17,Ajax  ,5,13.8,101.0,54.0,84.6,14.7,6.76,Scorers, ,Fernando Torres,Chelsea  ,9,4,Assists, ,Andrés Iniesta,Barcelona  ,9,3.0
2013/14,Quarter Finals,2,Atlético Madrid,2,1,1,0,2,1,1,DW,46%,54%,8%,77%,54%,2.77,OVERALL,18,Shakhtar Donetsk,7,12.2,130.0,48.9,81.4,11.5,6.76,Scorers, ,Hulk Zenit,St Petersburg,8,4,Assists, ,Thiago Motta,Paris Saint-Germain,9,3.0
2013/14,Quarter Finals,3,Real Madrid  ,2,1,0,1,3,2,1,WL,38%,54%,8%,92%,77%,3.92,OVERALL,19,Juventus  ,9,20.2,91.0,50.4,83.4,15.2,6.74,Scorers, ,Edinson Cavani,Paris Saint-Germain,8,4,Assists, ,Jesús Navas,Manchester City,8,3.0
2013/14,Quarter Finals,4,Chelsea   ,2,1,0,1,3,3,0,LW,58%,33%,17%,75%,50%,2.42,OVERALL,20,Schalke 04,8,12.8,180.0,49.7,83.4,13.6,6.72,Scorers, ,van Persie,Manchester United,6,4,Assists, ,Didier Drogba, Galatasaray,8,3.0
2013/14,Quarter Finals,5,Paris Saint-Germain,2,1,0,1,3,3,0,WL,30%,60%,10%,100%,80%,3.4,OVERALL,21,Austria Wien,5,9.8,170.0,39.8,73.7,12.7,6.71,Scorers, ,Gonzalo Higuaín,Napoli  ,5,4,Assists, ,James Milner,Manchester City,6,3.0
2013/14,Quarter Finals,6,Borussia Dortmund,2,1,0,1,2,3,-1,LW,20%,60%,20%,90%,80%,3.1,OVERALL,22,Galatasaray  ,9,10.3,140.0,51.0,82.0,15.6,6.7,Scorers,22,Isco, Real Madrid  ,12,3,Assists,22,Koke, Atletico Madrid  ,13,2.0
2013/14,Quarter Finals,7,FC Barcelona    ,2,0,1,1,1,2,-1,DL,30%,60%,10%,80%,50%,2.9,OVERALL,23,Bayer Leverkusen,10,13.4,192.0,45.9,81.1,13.9,6.69,Scorers, ,Mario Götze,Bayern Munich,11,3,Assists, ,Toni Kroos,Bayern Munich,12,2.0
2013/14,Quarter Finals,8,Manchester United,2,0,1,1,2,4,-2,DL,50%,40%,20%,70%,40%,2.6,OVERALL,24,Benfica  ,8,12.2,110.0,49.7,80.7,11.3,6.69,Scorers, ,Ángel Di María,Real Madrid,11,3,Assists, ,Juanfran  ,Atletico Madrid,12,2.0
2013/14,Semi Finals,1,Real Madrid,2,2,0,0,5,0,5,WW,38%,54%,8%,92%,77%,3.92,OVERALL,25,FC FCSB,2,10.7,130.0,43.8,77.7,15.7,6.68,Scorers, ,Sergio Ramos,Real Madrid,11,3,Assists, ,Willian  ,Chelsea  ,11,2.0
2013/14,Semi Finals,2,Atlético Madrid,2,1,1,0,3,1,2,DW,46%,54%,8%,77%,54%,2.77,OVERALL,26,FC Copenhagen,4,9.0,90.0,44.9,81.6,11.5,6.67,Scorers, ,Mario Mandzukic,Bayern Munich,10,3,Assists, ,Pepe  ,Real Madrid,11,2.0
2013/14,Semi Finals,3,Chelsea    ,2,0,1,1,1,3,-2,DL,58%,33%,17%,75%,50%,2.42,OVERALL,27,CSKA Moscow,8,12.8,52.0,42.2,79.7,9.2,6.63,Scorers, ,Franck Ribéry,Bayern Munich,10,3,Assists, ,Frank Lampard, Chelsea,11,2.0
2013/14,Semi Finals,4,Bayern München  ,2,0,0,2,0,5,-5,LL,33%,50%,17%,83%,58%,3.08,OVERALL,28,Marseille  ,5,10.2,131.0,46.1,82.2,11.2,6.59,Scorers, ,Samuel Eto'o,Chelsea  ,9,3,Assists, ,Kevin Grosskreutz,Borussia Dortmund,10,2.0
2013/14,Finals,1,Real Madrid  ,1,1,0,0,4,1,3,W,38%,54%,8%,92%,77%,3.92,OVERALL,29,Real Sociedad,1,12.8,120.0,49.5,78.2,15.2,6.52,Scorers, ,Marquinhos, Paris Saint-Germain  ,8,3,Assists, ,Mario Mandzukic,Bayern Munich,10,2.0
2013/14,Finals,2,Atlético Madrid,1,0,0,1,1,4,-3,L,46%,54%,8%,77%,54%,2.77,OVERALL,30,Anderlecht  ,4,10.3,164.0,43.4,79.0,10.0,6.48,Scorers, ,Julian Draxler,Schalke 04,8,3,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,10,2.0
